"SECONDS";"PID";"VALUE";"UNITS"
"32646.090139";"Стоимость топлива (общий)";"90.5";"₽"
"32646.126139";"Fuel economizer (based on fuel system status and throttle position)";"-1";""
"32646.126139";"Положение дроссельной заслонки";"7.45098039215686";"%"
"32646.195139";"Пройденный путь";"0";"km"
"32646.195139";"Пройденный путь (общий)";"10.8990797026389";"km"
"32646.195139";"Скорость автомобиля";"0";"km/h"
"32646.195139";"Средняя скорость";"0";"km/h"
"32646.195139";"Ускорение";"0";"g"
"32646.230139";"Power from MAF";"0";"hp"
"32646.230139";"Использовано топлива";"0";"L"
"32646.230139";"Использовано топлива (общий)";"1.90520123586609";"L"
"32646.230139";"Массовый расход воздуха";"0";"g/sec"
"32646.230139";"Мгновенный расход топлива (л/ч)";"0";"L/h"
"32646.230139";"Моментальная мощность двигателя (от расхода топлива)";"0";"hp"
"32646.230139";"Средний расход топлива (л/100 км) (общий)";"17.4803863064218";"L/100km"
"32646.230139";"Стоимость топлива";"0";"₽"
"32646.230139";"Стоимость топлива (общий)";"90.5";"₽"
"32646.266139";"Fuel economizer (based on fuel system status and throttle position)";"-1";""
"32646.266139";"Положение дроссельной заслонки";"7.45098039215686";"%"
"32646.392139";"Пройденный путь";"0";"km"
"32646.392139";"Пройденный путь (общий)";"10.8990797026389";"km"
"32646.392139";"Скорость автомобиля";"0";"km/h"
"32646.392139";"Средняя скорость";"0";"km/h"
"32646.392139";"Ускорение";"0";"g"
"32646.428139";"Power from MAF";"0";"hp"
"32646.428139";"Использовано топлива";"0";"L"
"32646.428139";"Использовано топлива (общий)";"1.90520123586609";"L"
"32646.428139";"Массовый расход воздуха";"0";"g/sec"
"32646.428139";"Мгновенный расход топлива (л/ч)";"0";"L/h"
"32646.428139";"Моментальная мощность двигателя (от расхода топлива)";"0";"hp"
"32646.428139";"Средний расход топлива (л/100 км) (общий)";"17.4803863064218";"L/100km"
"32646.428139";"Стоимость топлива";"0";"₽"
"32646.428139";"Стоимость топлива (общий)";"90.5";"₽"
"32646.452139";"Fuel economizer (based on fuel system status and throttle position)";"-1";""
"32646.452139";"Положение дроссельной заслонки";"7.45098039215686";"%"
"32646.519139";"Пройденный путь";"0";"km"
"32646.519139";"Пройденный путь (общий)";"10.8990797026389";"km"
"32646.519139";"Скорость автомобиля";"0";"km/h"
"32646.519139";"Средняя скорость";"0";"km/h"
"32646.519139";"Ускорение";"0";"g"
"32646.554139";"Power from MAF";"0";"hp"
"32646.554139";"Использовано топлива";"0";"L"
"32646.554139";"Использовано топлива (общий)";"1.90520123586609";"L"
"32646.554139";"Массовый расход воздуха";"0";"g/sec"
